Timestamp;Open;High;Low;Close;Volume
2025.05.12 00:00;1.11964;1.12023;1.11902;1.11965;66
2025.05.12 00:05;1.11966;1.12011;1.11905;1.11991;118
2025.05.12 00:10;1.11979;1.12054;1.11979;1.12042;35
2025.05.12 00:15;1.1204;1.12175;1.1204;1.12173;104
2025.05.12 00:20;1.12172;1.12219;1.12161;1.12165;70
2025.05.12 00:25;1.12167;1.12169;1.12077;1.12114;117
2025.05.12 00:30;1.12113;1.12131;1.12112;1.12131;62
2025.05.12 00:35;1.1213;1.12133;1.1213;1.12131;27
2025.05.12 00:40;1.1213;1.12144;1.12119;1.1212;114
2025.05.12 00:45;1.12119;1.1213;1.12119;1.12124;52
2025.05.12 00:50;1.12126;1.12151;1.12058;1.12151;182
2025.05.12 00:55;1.1215;1.12155;1.12081;1.12085;95
2025.05.12 01:00;1.12097;1.12255;1.12097;1.12255;389
2025.05.12 01:05;1.12253;1.12254;1.12172;1.12183;231
2025.05.12 01:10;1.12182;1.12248;1.12172;1.12233;156
2025.05.12 01:15;1.12234;1.12258;1.12217;1.12239;171
2025.05.12 01:20;1.12238;1.12261;1.12226;1.12242;187
2025.05.12 01:25;1.12244;1.1226;1.12241;1.12254;212
2025.05.12 01:30;1.12251;1.1226;1.12242;1.12259;195
2025.05.12 01:35;1.12259;1.12308;1.12247;1.12256;246
2025.05.12 01:40;1.12257;1.12274;1.12232;1.12241;163
2025.05.12 01:45;1.12242;1.1229;1.12229;1.12281;254
2025.05.12 01:50;1.1228;1.12283;1.12244;1.12244;165
2025.05.12 01:55;1.12245;1.12247;1.12217;1.12245;158
2025.05.12 02:00;1.12241;1.12265;1.12222;1.12244;199
2025.05.12 02:05;1.12241;1.12281;1.1224;1.1228;87
2025.05.12 02:10;1.12281;1.12341;1.12279;1.12327;121
2025.05.12 02:15;1.12328;1.12336;1.123;1.12301;133
2025.05.12 02:20;1.12302;1.12308;1.12258;1.12274;142
2025.05.12 02:25;1.12272;1.12313;1.12271;1.12306;191
2025.05.12 02:30;1.12307;1.12327;1.12304;1.12309;96
2025.05.12 02:35;1.1231;1.12355;1.12305;1.12347;185
2025.05.12 02:40;1.12349;1.12354;1.12312;1.12319;196
2025.05.12 02:45;1.1232;1.12331;1.12247;1.12275;265
2025.05.12 02:50;1.12276;1.12299;1.12275;1.12298;181
2025.05.12 02:55;1.12297;1.12324;1.12263;1.12274;158
2025.05.12 03:00;1.12279;1.12348;1.12262;1.12344;341
2025.05.12 03:05;1.12342;1.12366;1.1232;1.12365;278
2025.05.12 03:10;1.12366;1.12372;1.12344;1.12353;258
2025.05.12 03:15;1.12354;1.12362;1.12286;1.12294;346
2025.05.12 03:20;1.12295;1.12301;1.12243;1.12282;368
2025.05.12 03:25;1.12284;1.12338;1.12283;1.12318;217
2025.05.12 03:30;1.12317;1.12339;1.12311;1.12316;266
2025.05.12 03:35;1.12313;1.12339;1.12275;1.12328;213
2025.05.12 03:40;1.12329;1.12363;1.12322;1.1236;237
2025.05.12 03:45;1.1236;1.1238;1.12333;1.12373;239
2025.05.12 03:50;1.12375;1.12384;1.12303;1.12327;494
2025.05.12 03:55;1.1233;1.12381;1.12313;1.12379;418
2025.05.12 04:00;1.12378;1.12406;1.12362;1.12405;485
2025.05.12 04:05;1.12408;1.1242;1.12354;1.1237;407
2025.05.12 04:10;1.12369;1.12372;1.12294;1.12308;577
2025.05.12 04:15;1.12307;1.12344;1.12274;1.12285;443
2025.05.12 04:20;1.12284;1.12292;1.12242;1.12254;316
2025.05.12 04:25;1.12255;1.12259;1.12215;1.12234;369
2025.05.12 04:30;1.12233;1.12288;1.12225;1.12267;401
2025.05.12 04:35;1.12266;1.12268;1.12221;1.12254;329
2025.05.12 04:40;1.12256;1.12306;1.12252;1.12306;265
2025.05.12 04:45;1.12303;1.12307;1.12252;1.12277;316
2025.05.12 04:50;1.12275;1.1229;1.12263;1.12269;243
2025.05.12 04:55;1.1227;1.12275;1.12242;1.12251;244
2025.05.12 05:00;1.12252;1.12311;1.12244;1.12292;429
2025.05.12 05:05;1.12294;1.12294;1.12258;1.12268;243
2025.05.12 05:10;1.12264;1.12339;1.12263;1.12325;295
2025.05.12 05:15;1.12326;1.1235;1.12302;1.12302;225
